PGA,PGV,PGD,Ds-5-95,Ds-5-75,Sa (T=0.05 sec),Sa (T=0.1 sec),Sa (T=0.2 sec),Sa (T=0.3 sec),Sa (T=0.4 sec),Sa (T=0.5 sec),Sa (T=0.75 sec),Sa (T=1 sec),Sa (T=1.5 sec),Sa (T=2 sec),Sa (T=3 sec),Sa (T=4 sec),Sa (T=5 sec),Sa (T=7.5 sec),Sa (T=10 sec),CAV,ASI,DSI,failure state
1,44.24217629,7.963542584,10.28,3.256,1.748583461,2.328999533,3.170563771,1.543585577,1.513785856,0.860880456,0.76146581,0.512030438,0.210546758,0.107689557,0.044346561,0.028204236,0.018852165,0.00946511,0.008253605,1.938316569,0.648385777,30.94829338,0
1,23.34051266,3.035447665,10.168,2.872,1.511110896,2.659319326,1.210919061,1.254582696,1.054416177,0.752324364,0.3566103,0.279161761,0.098705246,0.048577867,0.024843542,0.01197938,0.011024179,0.008196126,0.006329313,1.67176318,0.493075999,15.44399984,0
1,85.78662023,22.85712092,9.356,3.6,1.011414769,1.303153535,3.122690787,4.134972981,2.05636191,2.222845195,1.467512401,1.321626686,0.924215739,0.396217138,0.169688293,0.194703679,0.097482691,0.054930213,0.044161947,2.659967345,0.770823331,136.8274752,0
1,51.1151107,9.573573221,9.996,3.604,1.036797427,1.341101419,2.116261769,4.246375384,1.675370022,1.355320201,0.714942869,0.717820903,0.464188669,0.220305754,0.13947742,0.066953434,0.039579289,0.032477026,0.027790397,1.986415947,0.679725157,66.00770053,0
1,57.4590524,10.66387812,5.864,4.088,1.144418549,1.428221522,2.0234945,1.650831514,1.556654911,1.671472058,1.51060556,0.822047565,0.298526019,0.208756182,0.050459892,0.042770908,0.033838778,0.011613815,0.005296885,1.469313715,0.601561769,46.6167293,0
1,78.20737854,9.36117011,6.184,4.056,1.404433363,2.422644297,2.075726354,2.04593059,1.809373462,1.756110422,1.319222781,0.981236617,0.291659883,0.173221947,0.172776082,0.073247517,0.043101477,0.010095649,0.005638436,2.080970738,0.785272509,77.96119859,0
1,88.28799051,25.70470007,7.792,6.136,1.234992804,1.442489412,3.090737607,2.856701418,3.177858176,2.844690459,0.860097687,1.238896569,0.755645078,0.360087474,0.185852866,0.101814396,0.06544346,0.019821275,0.014221875,2.696446478,0.942830165,111.5872116,0
1,86.6851344,46.2196527,8.944,5.272,1.071416536,1.450716129,2.221080903,1.597812336,1.520939399,1.766678743,1.034587859,1.780908279,0.712416102,0.264099403,0.179343527,0.124836147,0.137013956,0.069960639,0.033576452,2.339167441,0.646182235,144.5205182,0
1,165.8990974,117.8677239,27.2544,17.0912,1.099877432,1.641033729,1.939057351,2.440184629,2.718079836,2.833918741,1.798294586,2.000822315,1.048025255,0.750761622,0.686396888,0.473568212,0.428070578,0.140371618,0.081504279,7.710355585,0.719931831,469.8167344,0
1,144.8079357,75.6444963,25.6544,14.4416,1.012267672,1.211144645,1.522897385,1.981517796,2.524037021,1.713168353,2.515794983,2.540270294,1.51729285,0.847833066,0.925021813,0.475754457,0.210003294,0.157844166,0.063404543,6.808219768,0.560538934,362.8408302,0
1,80.35727266,27.57511113,9.72,5.984,1.121112159,2.015453168,2.821709579,2.130394436,2.858085835,2.486440629,1.481387125,1.023574355,0.346019215,0.346393701,0.154354704,0.061496252,0.067152676,0.04969536,0.033734333,3.326654571,0.93963256,101.2600992,0
1,75.21408426,26.85357661,8.992,5.392,1.06846998,2.267377031,2.405389967,2.447465449,2.948145476,2.408372874,1.055299894,0.747278563,0.309252344,0.269984257,0.180499958,0.119086273,0.083278849,0.042604323,0.022456062,2.874966697,0.951402113,124.5825506,0
1,123.0044915,34.33138003,12.30296,3.25496,1.024576714,1.869062662,1.894103196,1.806629406,1.725472491,1.518900967,1.845040812,1.615623996,1.536450889,0.843099125,0.310142004,0.136897475,0.083556779,0.044902816,0.014842137,2.439773677,0.529908389,146.9016249,0
1,142.5138683,46.41330215,16.45808,5.59816,1.189957045,2.008746246,2.372918587,1.415247567,1.722727413,2.354358697,1.422083458,1.766191446,1.321231389,0.985602857,0.317172462,0.401810206,0.258907546,0.055845351,0.022491914,3.446298689,0.6067951,311.6224444,0
1,174.4453491,118.2240686,5.992,4.484,1.044451674,1.376464731,1.386893662,1.449198018,2.129108228,1.807202847,0.986400148,1.062407206,0.645845215,0.349995469,0.621345685,0.582354271,0.402276036,0.215517752,0.111820934,1.810367522,0.548133918,438.2277262,0
1,159.9781851,115.1825952,6.072,4.248,1.095622939,1.746165538,3.346717841,2.169909274,2.123002977,3.800325993,1.327968415,1.209174318,0.717251442,0.540281505,0.526537841,0.6022637,0.509394595,0.197287173,0.069430076,2.517602443,0.772024004,467.5462051,0
1,94.04582784,38.88188963,15.712,8.312,1.215074065,2.115919864,1.871664258,1.924507173,1.786848279,1.924730043,1.657265023,1.879880116,0.653666855,0.305053479,0.148383648,0.162104282,0.14238833,0.056187313,0.024026992,4.580227798,0.713876334,154.0332489,0
1,61.22204804,23.93879164,19.76,10.144,1.641580627,2.300261993,2.020361263,1.455234399,1.917245368,1.336563807,0.532521881,0.445287386,0.290695257,0.161003899,0.235185668,0.142808289,0.106807625,0.042814864,0.015598402,3.947380541,0.653880225,152.8756167,0
1,60.63842985,35.56073908,22.8,10.54,1.175735746,1.920637706,2.82384029,2.208650243,1.31266928,1.138104467,0.529008027,0.483815476,0.346267301,0.32523359,0.236899844,0.182447354,0.144522363,0.174539294,0.129132144,3.450187609,0.605866695,155.7828849,0
1,125.0115052,143.3435674,19.904,9.652,1.058819987,2.539470354,2.064761382,2.280565199,2.200915655,1.525647446,1.020727278,0.717478206,0.333612388,0.283051444,0.235831413,0.279639795,0.202636325,0.22273591,0.133206078,3.939416216,0.681909656,197.8144349,0
1,49.77244833,10.07885858,11.565,3.663,1.730680172,2.465333818,3.691603808,1.644294299,1.596269429,0.969383727,0.728285258,0.618221325,0.249514031,0.133510001,0.04166154,0.034205032,0.025099328,0.011853063,0.00863114,2.18060614,0.709352154,38.73844935,0
1,26.25807674,3.841738451,11.439,3.231,1.424521394,2.631652065,1.162177574,1.429540329,1.055155979,0.691284799,0.354677598,0.309499253,0.146384352,0.052147437,0.028511558,0.013938812,0.011039937,0.009165304,0.00718185,1.880733577,0.539795178,18.55409874,0
1,96.50994775,28.92854366,10.5255,4.05,1.004173864,1.316770573,3.084315295,3.908308554,2.293365496,1.926157767,2.23467903,1.101538686,1.120653721,0.614582184,0.177378582,0.204314031,0.150272094,0.058395913,0.045619216,2.992463264,0.778727839,165.179755,0
1,57.50449954,12.11655361,11.2455,4.0545,1.001461307,1.270518332,1.992672257,3.862512869,2.31859827,1.881549443,0.944097581,0.710434449,0.653803499,0.287675156,0.171903533,0.092983001,0.045507947,0.043281587,0.029129591,2.23471794,0.70495323,83.03238212,0
1,64.64143395,13.49647074,6.597,4.599,1.12129078,1.599453465,2.165468636,1.707103923,1.429213143,1.415214559,1.479541838,0.944556503,0.391146547,0.2498307,0.073151263,0.042514996,0.039523998,0.01576392,0.007112819,1.652977929,0.635223889,57.19259135,0
1,87.98330086,11.84773092,6.957,4.563,1.322615943,2.571022277,2.12834481,2.250283953,1.783143643,1.522832511,1.402733347,1.106317842,0.374909753,0.185815934,0.144103786,0.093189626,0.052871982,0.015869766,0.006653087,2.34109208,0.840111018,97.2337979,0
1,99.32398933,32.53251102,8.766,6.903,1.223386279,1.483691867,2.979616423,2.939701675,2.575491066,3.69606547,0.817769354,1.134785288,0.923459619,0.471658642,0.209055011,0.116930871,0.076658016,0.024484261,0.016937917,3.033502288,0.967570206,140.7618834,0
1,97.5207762,58.49674794,10.062,5.931,1.096052484,1.517486595,2.180685189,1.576985245,1.331852018,1.786480489,1.186801447,1.675972191,0.8134414,0.322679644,0.20607397,0.11674626,0.1395965,0.078858345,0.043117806,2.631563371,0.679421041,156.6251288,0
1,186.6364846,149.1763381,30.6612,19.2276,1.042466882,1.228023283,2.025059601,2.21856771,2.590898937,3.429345703,2.035602895,2.353638379,1.024577892,0.97488301,0.604722352,0.850302902,0.422189171,0.21928817,0.09010188,8.674150033,0.66290126,525.7481539,0
1,162.9089277,95.73756563,28.8612,16.2468,1.012377519,1.084315096,1.470521957,1.625070403,2.300944949,1.929998253,1.785297426,2.977951676,2.474756049,1.43038101,0.865879641,0.534636684,0.267389987,0.178193193,0.098888604,7.659247239,0.55334853,457.41958,0
1,90.40193174,34.89975003,10.935,6.732,1.100150944,1.775924549,3.246349416,2.416899416,2.932677177,2.642823992,1.684336224,1.115524403,0.366355239,0.275841035,0.237461309,0.096208858,0.063289285,0.053129668,0.043947096,3.742486392,0.983150815,123.8572095,0
1,84.61584479,33.9865579,10.116,6.066,1.079915307,2.097180483,2.398690481,2.170740162,3.228122448,2.806097683,1.455957221,0.713589752,0.363207951,0.336294189,0.229836454,0.141509065,0.096501578,0.048175573,0.031537941,3.234337535,0.998372594,149.9876889,0
1,138.3800529,43.45065285,13.84083,3.66183,1.042248344,1.406695182,1.814618788,2.205249067,1.526166076,1.629680053,1.819731295,1.584345825,1.771754824,1.103907716,0.408489723,0.185514258,0.101439546,0.069955795,0.023756929,2.744745386,0.542650038,194.0431606,0
1,160.3281018,58.74183554,18.51534,6.29793,1.131957023,1.630942297,2.119045794,1.898965631,1.559395625,1.796664884,1.905172345,1.649342735,1.550286553,1.101207964,0.417660483,0.455883825,0.325524168,0.083249197,0.029823747,3.877086025,0.609490503,361.4608314,0
1,196.2510178,149.6273368,6.741,5.0445,1.052172149,1.144919695,1.861019232,1.521455358,1.784606892,2.271292214,1.547667283,1.397289211,0.664852505,0.438946815,0.532388254,0.654588135,0.493863,0.251619845,0.149211484,2.036663462,0.533014768,475.1862669,0
1,179.9754582,145.777972,6.831,4.779,1.041711803,1.25575206,3.110931312,2.254847155,2.623572779,2.700797014,1.916389572,1.094058404,0.859793325,0.81734263,0.53978334,0.607665676,0.547625626,0.264887005,0.096239612,2.832302749,0.72756294,485.4956338,0
1,105.8015563,49.20989156,17.676,9.351,1.17412755,2.107177723,2.159724065,2.132717509,1.459493851,1.844481364,1.814667825,1.596250945,0.763038982,0.37158779,0.203891502,0.162389419,0.140165288,0.086678058,0.028339941,5.152756273,0.75471728,168.7453502,0
1,68.87480404,30.29753317,22.23,11.412,1.723922368,1.936239608,2.11363472,1.207221588,1.576914185,1.454755851,0.565558396,0.413788184,0.534158133,0.173791473,0.200999306,0.213575793,0.128451169,0.060039122,0.022181284,4.440803108,0.6994682,177.4634234,0
1,68.21823358,45.0065604,25.65,11.8575,1.136077206,1.761627814,3.076397833,2.369527538,1.945671709,1.321410176,0.627242741,0.430871211,0.37241599,0.269284666,0.262626411,0.180776426,0.168852109,0.188796588,0.132842626,3.88146106,0.643401902,172.4725339,0
1,140.6379433,181.4192024,22.392,10.8585,1.040690128,1.83540967,2.417398632,2.725168444,1.589679188,1.851039891,0.796037865,0.866304324,0.37682402,0.258745073,0.19461695,0.226624948,0.248956189,0.224233314,0.166181776,4.431843243,0.712771332,207.5378442,0
1,55.30272036,12.44303529,12.85,4.07,1.717928032,2.691342225,4.11074495,1.297955826,1.592061871,1.203047686,0.755587676,0.715634233,0.3116993,0.158280683,0.05637931,0.044593254,0.027569105,0.012770698,0.00843615,2.422895712,0.76536531,46.76898957,0
1,29.17564082,4.742886977,12.71,3.59,1.433367752,2.308600951,1.151229673,1.63422515,1.146596329,0.821896667,0.394576477,0.347396809,0.186871841,0.060890588,0.035956358,0.018876496,0.011687725,0.010043703,0.007835302,2.089703975,0.587053089,22.49316207,0
1,107.2332753,35.71425143,11.695,4.5,0.99819098,1.112366603,2.788858523,2.563514766,2.674698851,2.017672973,2.181274306,1.132539668,1.191628164,0.773405697,0.280291409,0.185233341,0.192106805,0.059903424,0.050700361,3.324959182,0.796204443,186.5785227,0
1,63.89388837,14.95870816,12.495,4.505,1.006554588,1.219168066,1.586659336,2.581534665,2.336664738,1.654049444,1.092715386,0.738037525,0.80902138,0.361639185,0.218242484,0.127075355,0.065746454,0.040428224,0.029654113,2.483019934,0.720230414,102.7548195,0
1,71.8238155,16.66230956,7.33,5.11,1.107152265,1.762635364,1.912064275,1.691447548,1.478883875,1.529205108,1.215752283,1.011432087,0.414429881,0.244799552,0.106610085,0.041748825,0.042510662,0.020585061,0.009377052,1.836642144,0.66945238,68.81953699,0
1,97.75922318,14.6268283,7.73,5.07,1.300395103,2.60798949,2.270947421,2.164851507,1.76433879,1.752597047,1.604027404,0.979763298,0.400343941,0.171846302,0.103707674,0.128727578,0.06967943,0.024083151,0.008137437,2.601213422,0.895888431,117.1127572,0
1,110.3599881,40.16359386,9.74,7.67,1.210581996,1.430284301,2.557437067,2.700329223,2.206233477,3.961386181,0.844656843,0.933558807,1.075004669,0.552109655,0.234040543,0.156341107,0.098357609,0.033750964,0.017444278,3.370558098,0.971714283,174.21081,0
1,108.356418,72.21820734,11.18,6.59,1.104452497,1.421595652,2.079719432,1.648329952,1.37917361,1.822890637,1.115755804,1.397075579,1.017365871,0.404666601,0.259379736,0.135940537,0.127902891,0.098752138,0.059297005,2.923959301,0.707563086,170.9593083,0
1,207.3738718,184.1683187,34.068,21.364,1.009776404,1.187284591,2.03555329,2.011118781,2.225596206,2.737737792,2.545481901,1.61233166,1.129550539,1.164664312,0.576072847,0.885314792,0.475189381,0.252158419,0.114675007,9.637944481,0.620566083,593.4627441,0
1,181.0099196,118.1945255,32.068,18.052,1.006116529,1.109951407,1.500259406,1.756281595,2.284501823,2.450463132,2.072414369,2.670558471,2.297679923,1.643892464,0.658303046,0.683898605,0.461509896,0.219855413,0.132518194,8.510274709,0.537992606,560.2614953,0
1,100.4465908,43.08611114,12.15,7.48,1.084677395,1.735797068,3.684371375,2.581186275,2.785037483,2.720735336,1.733413651,1.388547896,0.567514862,0.277745651,0.320404471,0.112239419,0.057041863,0.05792647,0.048451365,4.158318213,1.024471386,152.3152585,0
